2.899710979244148338e-12,9.825681485899398493e-02,6.572998964940655537e-12,6.978485139023660189e-03
5.154815932412099011e-02,6.933365009922078874e-05,5.616490643013075101e-02,9.407893837299387014e-04
9.953177639554827509e-09,3.720987531602357154e-09,9.850041649857676362e-08,6.339576303907880595e-09
6.339576303907879933e-06,2.082949995312754828e-06,1.613428087901102375e-05,5.616490643013075535e-05
1.090557244605830004e-05,1.296683615775971302e-06,9.851764909319800606e-06,8.835653542310475044e-06
1.613428087901102460e-06,7.596076258450271975e-07,1.296683615775971302e-06,8.741181537031151856e-07
5.161706006440813137e-07,3.313446214140937433e-07,5.784848029796392155e-07,1.296683615775971461e-07
7.674931363325119347e-08,3.577803261693210751e-08,3.313446214140937433e-07,1.296683615775971461e-07
6.953777535043694730e-08,4.919075566360630142e-09,2.446402426761707614e-08,5.463198970662219702e-08
1.296683615775971461e-08,7.928133319237888624e-10,4.919075566360630142e-09,4.919075566360630142e-09
1.386970368511357186e-09,8.952189604686089380e-11,7.928133319237888624e-10,7.928133319237888624e-10
3.577803261693211041e-10,8.952189604686089380e-11,8.952189604686089380e-11,4.919075566360630349e-10
7.928133319237889141e-11,8.952189604686089380e-11,2.993012687992994155e-11,1.495206145745571946e-10
2.993012687992994155e-11,8.952189604686090672e-12,8.952189604686090672e-12,6.845229110751782247e-12
8.952189604686090672e-12,2.828838101808925662e-12,1.171055046266406841e-12,2.993012687992994317e-12
1.171055046266406841e-12,2.828838101808925662e-12,2.828838101808925662e-12,3.856743167431344043e-12
3.847566212505393324e-02,6.403066497176522834e-03,6.842445423105170121e-02,7.514226614529821713e-02
8.240759491690166291e-03,1.090557244605829977e-03,7.100309374653095834e-03,1.000000000000149554e-02
1.000000000001657332e-03,7.652679133125629240e-05,6.224406465169051805e-05,5.512057287229321768e-07
1.000046412810630419e-04,5.094267569895953541e-04,3.424246608567715547e-05,1.000000020459595708e-04
5.799737716494102343e-05,7.674931363325117865e-06,1.613428087901102375e-05,1.000000039611832810e-05
8.379923169197020386e-06,7.137744637216992372e-06,8.326402774606791240e-06,3.118141764366083128e-06
9.449397093941912331e-07,6.792252671749089798e-07,1.296683615775971461e-07,1.000000000613388657e-07
1.296683615775971461e-07,8.326402774606791928e-08,5.784848029796392685e-08,9.605312767880195088e-08
9.386794489106456457e-08,9.386794489106456457e-08,3.313446214140937698e-08,9.269837075385831005e-08
9.541687544117183305e-09,2.832787473007636355e-09,5.784848029796392850e-09,2.142109236086577590e-09
1.296683615775971503e-09,7.928133319237889141e-11,2.446402426761707966e-10,7.674931363325120836e-10
4.783032427168852183e-10,6.068377141481596867e-10,4.919075566360630349e-10,8.855133488823714159e-11
2.446402426761707966e-10,1.171055046266406631e-10,5.310829020325785064e-11,3.762309394091736870e-11
2.635581443228767111e-11,2.383607736509142644e-11,2.828838101808925339e-11,3.263739828152719302e-11
8.952189604686090672e-12,1.171055046266406760e-11,2.383607736509142725e-12,6.450766773572498857e-12
9.953177639554827767e-12,1.416016938936658342e-12,1.171055046266406760e-11,2.045959538345344844e-13
